Tiempo (ms);Ángulo 1
12837;121,981399536133
12871;120,739631652832
12904;119,006278991699
12937;116,794799804688
12971;114,12068939209
13004;111,005889892578
13037;107,489227294922
13071;103,633033752441
13104;99,5194778442383
13137;95,2444000244141
13171;90,9156341552734
13204;86,6486129760742
13237;82,5536346435547
13271;78,7243881225586
13304;75,2368316650391
13337;72,1525726318359
13371;69,5182800292969
13404;67,3639678955078
13437;65,7075653076172
13470;64,5613479614258
13504;63,933780670166
13537;63,8296203613281
13571;64,2516098022461
13604;65,2011871337891
13637;66,6778030395508
13670;68,6769332885742
13704;71,1863708496094
13737;74,1822509765625
13770;77,6238861083984
13804;81,4480361938477
13837;85,569465637207
13870;89,8843460083008
13904;94,2727890014648
13937;98,6070861816406
13970;102,767601013184
14004;106,655784606934
14037;110,195472717285
14070;113,330291748047
14104;116,023948669434
14137;118,255958557129
14170;120,013023376465
14203;121,286247253418
14237;122,071365356445
14270;122,365081787109
14303;122,16478729248
14337;121,472389221191
14370;120,293548583984
14403;118,635551452637
14437;116,508003234863
14470;113,925331115723
14503;110,911911010742
14537;107,507118225098
14570;103,767700195313
14603;99,767578125
14637;95,596305847168
14670;91,3577041625977
14703;87,1655197143555
14737;83,1303405761719
14770;79,3467712402344
14803;75,891716003418
14837;72,8271865844727
14870;70,1996078491211
14903;68,0380325317383
14937;66,3580703735352
14970;65,1716842651367
15003;64,4933013916016
15037;64,3366622924805
15070;64,7094497680664
15103;65,6106262207031
15137;67,0319900512695
15170;68,9632949829102
15203;71,392578125
15237;74,2982864379883
15270;77,6421661376953
15303;81,3672409057617
15337;85,3921966552734
15370;89,6070404052734
15403;93,8871917724609
15436;98,1169128417969
15470;102,194297790527
15503;106,024436950684
15536;109,524276733398
15570;112,631896972656
15603;115,305625915527
15636;117,519889831543
15670;119,263191223145
15703;120,53296661377
15736;121,329032897949
15770;121,649971008301
15803;121,492088317871
15836;120,852508544922
15870;119,732940673828
15903;118,140426635742
15936;116,08716583252
15970;113,591384887695
16003;110,678153991699
16036;107,38111114502
16070;103,749961853027
16103;99,8575744628906
16136;95,7948684692383
16170;91,6602401733398
16203;87,5577163696289
16236;83,5955505371094
16269;79,8724594116211
16303;76,4647521972656
16336;73,4285125732422
16370;70,808708190918
16403;68,6421051025391
16436;66,9545822143555
16469;65,7609176635742
16503;65,0694122314453
16536;64,8858489990234
16569;65,215461730957
16603;66,0632019042969
16636;67,4302673339844
16669;69,3109970092773
16703;71,6920700073242
16736;74,547721862793
16769;77,8328170776367
16803;81,481315612793
16836;85,4091491699219
16869;89,5174255371094
16903;93,6968460083008
16936;97,8355941772461
16969;101,827880859375
17003;105,580192565918
17036;109,015640258789
17069;112,074249267578
17103;114,713119506836
17136;116,907974243164
17169;118,647804260254
17202;119,926498413086
17236;120,739151000977
17269;121,081031799316
17302;120,94930267334
17336;120,345611572266
17369;119,274909973145
17403;117,743019104004
17436;115,756912231445
17469;113,329696655273
17502;110,4873046875
17536;107,270248413086
17569;103,73291015625
17602;99,9424667358398
